""		"grids"		"richness"		"PD_obs"		"pd_rand_mean"		"pd_rand_sd"		"pd_obs_rank"		"zscore"		"pd_obs_p"		"reps"		"PD"		"SR"		"std_resid_loess"		"mpd"		"mntd"		"loess_mpd"		"loess_mntd"		"PE"		"WE"		"std_PE"		"ntaxa.x"		"mpd.obs"		"mpd.rand.mean"		"mpd.rand.sd"		"mpd.obs.rank"		"mpd.obs.z"		"mpd.obs.p"		"runs.x"		"ntaxa.y"		"mntd.obs"		"mntd.rand.mean"		"mntd.rand.sd"		"mntd.obs.rank"		"mntd.obs.z"		"mntd.obs.p"		"runs.y"		"hotspot10_stdPDloess"		"coldspot10_lstdPDloess"		"mpa"		"name"		"coldspot10_mpd"		"hotspot10_mpd"		"coldspot10_mntd"		"hotspot10_mntd"		"coldspot10_sr"		"hotspot10_sr"		"coldspot10_stdPE"		"hotspot10_stdPE"		"cluster"		"ED"		"COLOURS"		"geometry"
"11"		"cell_3.1078"		85		"2079,41011463609"		"1905,76431339847"		"44418,2559995637"		"793"		"0,823917135293038"		"0,793"		999		"2079,41011463609"		14		"2,65961982815781"		"457,896431669792"		"191,484185717516"		"0,86585782226382"		"0,762053679393501"		"33,6452832464493"		"0,448659938541495"		"0,366654111784225"		14		"457,896431669792"		"423,958053454727"		"29,1088710858932"		"925"		"1,16591186634894"		"0,925"		999		14		"191,484185717516"		"175,533612003486"		"37,343304042944"		"667"		"0,42713343456935"		"0,667"		999		"2,65961982815781"		NA		"Crozet_Islands_Exclusive_Economic_ZoneNA"		NA		NA		NA		NA		NA		NA		NA		NA		NA		2		0,674155120046304		"#C3A1AE"		list(c(3557032.70842549, 3785514.62291905, 3958713.4302496, 3719777.77325896, 3557032.70842549, 3202766.63636601, 3408492.67622493, 3205702.92781076, 3012216.64781879, 3202766.63636601))
"12"		"cell_3.1085"		9		"1268,64122323717"		"1415,30351773977"		"38485,8121121889"		"218"		"-0,747598028653034"		"0,218"		999		"1268,64122323717"		9		"-0,223945510779389"		"404,799578154562"		"174,638111620979"		"-0,0891031383444204"		"-0,0998121995675039"		"11,2201348489318"		"0,149081617445358"		"0,00454919057595339"		9		"404,799578154562"		"424,487964209603"		"38,1086667969015"		"244"		"-0,516638017277538"		"0,244"		999		9		"174,638111620979"		"216,359114632591"		"51,2613475907939"		"217"		"-0,813888143258739"		"0,217"		999		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		2		0,674155120046304		"#C3A1AE"		list(c(1982046.78808427, 2236078.14218024, 2327780.50391289, 2063331.23342781, 1982046.78808427, 1605029.84203609, 1810740.37651391, 1691231.53195446, 1499097.89044706, 1605029.84203609))
"13"		"cell_3.1091"		24		"1089,10095680891"		"1210,0317511202"		"29738,1211876828"		"246"		"-0,701261735210369"		"0,246"		999		"1089,10095680891"		7		"-0,0864501484607417"		"431,93533475591"		"158,356868839332"		"0,388320776129517"		"-0,820547237856461"		"9,7095309227013"		"0,153613538197811"		"-0,0941703264368671"		7		"431,93533475591"		"425,698202671303"		"46,6468692276298"		"453"		"0,133709554100422"		"0,453"		999		7		"158,356868839332"		"243,333986153108"		"64,5813762605043"		"100"		"-1,31581459290989"		"0,1"		999		NA		NA		"Crozet_Islands_Exclusive_Economic_ZoneNA"		NA		NA		NA		NA		NA		NA		NA		NA		NA		2		0,674155120046304		"#C3A1AE"		list(c(3478179.51912708, 3719777.77325896, 3872327.18577451, 3620820.90111523, 3478179.51912708, 2816574.239175, 3012216.64781879, 2813410.3828165, 2630680.37095091, 2816574.239175))
"14"		"cell_3.1099"		9		"1342,89726330715"		"1414,9609629257"		"38592,4500592598"		"354"		"-0,366830450215039"		"0,354"		999		"1342,89726330715"		9		"0,263329538186233"		"393,401777072473"		"207,911169896319"		"-0,26639477084595"		"0,391760476680793"		"21,5814198642206"		"0,450288253946112"		"-0,315401274962425"		9		"393,401777072473"		"424,622929174905"		"38,6868512563063"		"177"		"-0,807022310903185"		"0,177"		999		9		"207,911169896319"		"216,070924616167"		"51,5044199978922"		"445"		"-0,158428242084497"		"0,445"		999		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		2		0,674155120046304		"#C3A1AE"		list(c(2063331.23342781, 2327780.50391289, 2413102.58108635, 2138960.23128092, 2063331.23342781, 1499097.89044706, 1691231.53195446, 1567087.13932199, 1389057.01574133, 1499097.89044706))
"15"		"cell_3.1100"		76		"2198,00140901316"		"2580,32606127789"		"62718,0872295084"		"64"		"-1,52663740755215"		"0,064"		999		"2198,00140901316"		23		"-0,12680808614565"		"413,074816236898"		"101,07875131515"		"0,181171561862876"		"-0,0991664108171153"		"35,3768223239671"		"0,67921437282649"		"-0,0859435824455168"		23		"413,074816236898"		"424,022583671596"		"21,852512948635"		"261"		"-0,50098437010114"		"0,261"		999		23		"101,07875131515"		"140,320210490748"		"24,5434788067366"		"47"		"-1,59885481127583"		"0,047"		999		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		2		0,674155120046304		"#C3A1AE"		list(c(2327780.50391289, 2590528.15227445, 2685480.93779561, 2413102.58108635, 2327780.50391289, 1691231.53195446, 1882128.87262253, 1743971.71239164, 1567087.13932199, 1691231.53195446))
"16"		"cell_3.1106"		6		"708,412894879165"		"1080,78105982555"		"26885,1304662191"		"20"		"-2,27099652867285"		"0,02"		999		"694,531885673136"		6		"-1,85478091443184"		"318,966744258196"		"87,2993433566034"		"-1,3164772709033"		"-2,16720507512502"		"15,4253143985289"		"0,39679964646975"		"-0,508021386713661"		6		"318,966744258196"		"425,506159764827"		"54,5072119504326"		"49"		"-1,95459301061875"		"0,049"		999		6		"87,2993433566034"		"261,147827355185"		"72,0757963799179"		"6"		"-2,41202307473941"		"0,006"		999		NA		"-1,85478091443184"		"Crozet_Islands_Exclusive_Economic_ZoneNA"		NA		"318,966744258196"		NA		"87,2993433566034"		NA		NA		NA		NA		NA		3		0,731234176932112		"#D09AC6"		list(c(3872327.18577451, 4121061.67923462, 4272114.38460834, 4014262.81863602, 3872327.18577451, 2813410.3828165, 2994126.57049714, 2774343.52037297, 2606892.75551267, 2813410.3828165))
"17"		"cell_3.1113"		58		"1879,00478782833"		"2368,16169421589"		"60971,1410104924"		"25"		"-1,98100708354961"		"0,025"		999		"1879,00478782833"		20		"-1,08271093266577"		"385,473584980653"		"91,9589815259857"		"-0,274221604864113"		"-0,352972325249444"		"18,1512709269816"		"0,318739209561029"		"-0,117664113560688"		20		"385,473584980653"		"424,379684946598"		"23,8456115823461"		"66"		"-1,63158322996204"		"0,066"		999		20		"91,9589815259857"		"150,286637087229"		"27,5283396039518"		"12"		"-2,11882214475695"		"0,012"		999		NA		NA		NA		NA		NA		NA		"91,9589815259857"		NA		NA		NA		NA		NA		2		0,674155120046304		"#C3A1AE"		list(c(2138960.23128092, 2413102.58108635, 2491810.51181776, 2208726.48781739, 2138960.23128092, 1389057.01574133, 1567087.13932199, 1438647.46976752, 1275208.83230763, 1389057.01574133))
"18"		"cell_3.1114"		41		"1798,90313905819"		"1890,87805633716"		"49727,7130875423"		"347"		"-0,412448912058303"		"0,347"		999		"1798,90313905819"		14		"0,818906936235285"		"432,121713368337"		"163,382538577577"		"0,464934709812535"		"0,346882889343131"		"29,839146090138"		"0,41479874318567"		"0,24838869131608"		14		"432,121713368337"		"423,807376890043"		"29,941707364837"		"529"		"0,277684113901208"		"0,529"		999		14		"163,382538577577"		"177,796576146537"		"36,4044135721531"		"347"		"-0,395942034346777"		"0,347"		999		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		2		0,674155120046304		"#C3A1AE"		list(c(2413102.58108635, 2685480.93779561, 2773073.00673177, 2491810.51181776, 2413102.58108635, 1567087.13932199, 1743971.71239164, 1601034.44691907, 1438647.46976752, 1567087.13932199))
"19"		"cell_3.1127"		17		"1655,27883530187"		"1978,27844840705"		"51325,9092039614"		"92"		"-1,42571814363299"		"0,092"		999		"1655,27883530187"		15		"-0,54774431759609"		"397,752672489943"		"122,706166674721"		"-0,0568494163497021"		"-0,167791875805152"		"15,0736875391669"		"0,266111152696847"		"-0,134171181623908"		15		"397,752672489943"		"424,370069662573"		"28,0370389002632"		"138"		"-0,949365489961945"		"0,138"		999		15		"122,706166674721"		"171,298287094585"		"34,0444554772465"		"83"		"-1,42731377954745"		"0,083"		999		NA		NA		NA		"East Antarctic"		NA		NA		NA		NA		NA		NA		NA		NA		2		0,674155120046304		"#C3A1AE"		list(c(2208726.48781739, 2491810.51181776, 2563688.5631399, 2272438.77857745, 2208726.48781739, 1275208.83230763, 1438647.46976752, 1306264.56749758, 1157865.39010325, 1275208.83230763))
"20"		"cell_3.1128"		17		"1545,16976001477"		"1616,62844168294"		"37502,039357636"		"354"		"-0,369001011859687"		"0,354"		999		"1545,16976001477"		11		"0,526425357720224"		"444,542301607716"		"156,727726195634"		"0,593348298748797"		"-0,0556487790213779"		"18,6418060774186"		"0,195916629155236"		"0,278937521866961"		11		"444,542301607716"		"423,744204284823"		"36,0658942404554"		"679"		"0,576669392535522"		"0,679"		999		11		"156,727726195634"		"195,339579428491"		"45,779955007932"		"204"		"-0,843422699436177"		"0,204"		999		NA		NA		NA		"East Antarctic"		NA		NA		NA		NA		NA		NA		NA		NA		2		0,674155120046304		"#C3A1AE"		list(c(2491810.51181776, 2773073.00673177, 2853064.27531042, 2563688.5631399, 2491810.51181776, 1438647.46976752, 1601034.44691907, 1453708.85731404, 1306264.56749758, 1438647.46976752))
"21"		"cell_3.1140"		10		"1160,32820559973"		"1419,07480153671"		"37281,7830889028"		"98"		"-1,34006636659633"		"0,098"		999		"1160,32820559973"		9		"-0,934705617609232"		"401,777502228847"		"116,78084550233"		"-0,136111220917075"		"-0,954589386293155"		"11,963767160449"		"0,188336827969266"		"-0,0732459102076127"		9		"401,777502228847"		"424,23034597378"		"39,3592426073338"		"229"		"-0,570459243053353"		"0,229"		999		9		"116,78084550233"		"215,962369111378"		"51,5729791293584"		"25"		"-1,92312961716396"		"0,025"		999		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		2		0,674155120046304		"#C3A1AE"		list(c(1979523.25535847, 2272438.77857745, 2329922.47260072, 2029597.34764895, 1979523.25535847, 1008617.4764712, 1157865.39010325, 1037348.31934683, 903634.958799435, 1008617.4764712))
"22"		"cell_3.1141"		35		"2029,38637419073"		"2227,70278782232"		"54517,4330770711"		"197"		"-0,84935834957316"		"0,197"		999		"2029,38637419073"		18		"0,682361785269294"		"428,360725214496"		"126,514450168262"		"0,406108713592672"		"0,0794491580265508"		"20,8660642453912"		"0,319464937559928"		"0,0326529465093526"		18		"428,360725214496"		"424,785553338106"		"24,2616176110594"		"483"		"0,147359171746271"		"0,483"		999		18		"126,514450168262"		"155,276475214733"		"29,4156863748413"		"160"		"-0,977778477780847"		"0,16"		999		NA		NA		NA		"East Antarctic"		NA		NA		NA		NA		NA		NA		NA		NA		2		0,674155120046304		"#C3A1AE"		list(c(2272438.77857745, 2563688.5631399, 2628539.72231028, 2329922.47260072, 2272438.77857745, 1157865.39010325, 1306264.56749758, 1170301.28484547, 1037348.31934683, 1157865.39010325))
"23"		"cell_3.1146"		7		"1016,11090456606"		"811,834087865724"		"17213,0156985105"		"957"		"1,55700712195473"		"0,957"		999		"1016,11090456606"		4		"1,78724257520031"		"514,764806338604"		"487,92739011631"		"1,90362202347846"		"3,01129140589128"		"8,75343265801962"		"0,082395619807962"		"0,0709388224132735"		4		"514,764806338604"		"425,674809397959"		"73,1860006393853"		"967"		"1,21730926901751"		"0,967"		999		4		"487,92739011631"		"308,047014004291"		"99,6901160150184"		"966,5"		"1,80439529315945"		"0,9665"		999		"1,78724257520031"		NA		"Kerguelen_Exclusive_Economic_ZoneNA"		NA		NA		"514,764806338604"		NA		"487,92739011631"		NA		NA		NA		NA		2		0,674155120046304		"#C3A1AE"		list(c(3707910.97669612, 3987771.66393624, 4088646.48103818, 3801706.42767119, 3707910.97669612, 1889275.00708642, 2031871.14954826, 1820382.697444, 1692628.75472106, 1889275.00708642))
"24"		"cell_3.1154"		44		"1879,67183891032"		"2359,28650245018"		"57034,97737351"		"21"		"-2,00826868235375"		"0,021"		999		"1879,67183891032"		20		"-1,07833368135617"		"401,430934045952"		"98,4818697024844"		"-0,0260066688595376"		"-0,256603858868755"		"33,6697439988849"		"0,828111563188706"		"-0,551554519463198"		20		"401,430934045952"		"424,52974364462"		"23,1589671126012"		"148"		"-0,997402409458042"		"0,148"		999		20		"98,4818697024844"		"150,065088384835"		"27,3020142502519"		"24"		"-1,88935578926652"		"0,024"		999		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		2		0,674155120046304		"#C3A1AE"		list(c(2029597.34764895, 2329922.47260072, 2381020.01107751, 2074108.45468511, 2029597.34764895, 903634.958799435, 1037348.31934683, 913987.948952283, 796175.640516498, 903634.958799435))
"25"		"cell_3.1160"		52		"1755,2262828127"		"2138,73445895373"		"54580,3031415068"		"53"		"-1,64155960107901"		"0,053"		999		"1755,2262828127"		17		"-0,720084979596846"		"418,632139234642"		"114,929233406157"		"0,263395393615341"		"-0,139822016465853"		"151,25047674887"		"2,43713734987696"		"1,71949104676"		17		"418,632139234642"		"424,473939846063"		"26,4064901064897"		"335"		"-0,221225940587428"		"0,335"		999		17		"114,929233406157"		"162,79579196088"		"31,2837719356875"		"66"		"-1,53007631730364"		"0,066"		999		NA		NA		"Kerguelen_Exclusive_Economic_ZoneNA"		NA		NA		NA		NA		NA		NA		NA		NA		"1,71949104676"		2		0,674155120046304		"#C3A1AE"		list(c(3801706.42767119, 4088646.48103818, 4178314.60233392, 3885081.66558138, 3801706.42767119, 1692628.75472106, 1820382.697444, 1603904.7028993, 1491343.12459218, 1692628.75472106))
