"";"grids";"richness";"PD_obs";"pd_rand_mean";"pd_rand_sd";"pd_obs_rank";"zscore";"pd_obs_p";"reps";"PD";"SR";"mpd";"mntd";"std_resid_loess";"coldspot10_stdPDloess";"hotspot10_stdPDloess";"mpa";"name";"coldspot5_stdPDloess";"hotspot5_stdPDloess";"coldspot2.5_stdPDloess";"hotspot2.5_stdPDloess";"coldspot10_mpd";"hotspot10_mpd";"coldspot5_mpd";"hotspot5_mpd";"coldspot2.5_mpd";"hotspot2.5_mpd";"coldspot10_mntd";"hotspot10_mntd";"coldspot5_mntd";"hotspot5_mntd";"coldspot2.5_mntd";"hotspot2.5_mntd";"coldspot10_sr";"hotspot10_sr";"coldspot5_sr";"hotspot5_sr";"coldspot2.5_sr";"hotspot2.5_sr";"PE";"WE";"std_PE";"ntaxa.x";"mpd.obs";"mpd.rand.mean";"mpd.rand.sd";"mpd.obs.rank";"mpd.obs.z";"mpd.obs.p";"runs.x";"ntaxa.y";"mntd.obs";"mntd.rand.mean";"mntd.rand.sd";"mntd.obs.rank";"mntd.obs.z";"mntd.obs.p";"runs.y";"coldspot10_stdPE";"hotspot10_stdPE";"coldspot5_stdPE";"hotspot5_stdPE";"coldspot2.5_stdPE";"hotspot2.5_stdPE";"loess_mpd";"loess_mntd";"pd_complementarity";"pd_added";"pd_added_perc";"pd_added_perc_hot";"cluster";"ED";"COLOURS";"geometry"
"263";"cell_3.45";10;270,2330509538;862,084907673485;23673,770551201;1;-3,84662010652455;0,001;999;102,0073056523;9;36,0934891461056;10,5222936125444;-1,22419997293124;NA;NA;"NAMPA_RS-GPZi";NA;NA;NA;NA;NA;36,0934891461056;NA;36,0934891461056;NA;NA;NA;10,5222936125444;NA;10,5222936125444;NA;10,5222936125444;NA;NA;NA;NA;NA;NA;NA;2,02803963538229;0,220557040107955;-0,284039582714248;9;36,0934891461056;236,085962317168;37,8860709974143;1;-5,27878631660465;0,001;999;9;10,5222936125444;131,958079300569;39,1868694944297;1;-3,09888968561998;0,001;999;NA;NA;NA;NA;NA;NA;-2,13010064011162;-1,39953406741679;FALSE;NA;NA;NA;1;0,65659849444449;"#D79C9A";list(c(-191882.012915518, -243962.593218431, -324242.328819832, -255023.812895199, -191882.012915518, -1211495.34968425, -1540319.19245692, -1525440.2229332, -1199792.70878075, -1211495.34968425))
"264";"cell_3.455";16;716,145731731;789,703132829856;21388,516152886;303;-0,502963012417224;0,303;999;669,412341557;8;206,231963778054;119,348840306412;0,207540787508693;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5,66575143156244;0,0697720829544654;0,149712295078704;8;206,231963778054;236,274236198009;38,9991631425891;222;-0,770331207111156;0,222;999;8;119,348840306412;140,037011712577;42,4113632326838;325;-0,487797840702793;0,325;999;NA;NA;NA;NA;NA;NA;0,144007436179554;0,404067523786218;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(-2536446.20979389, -2861532.81679993, -2841870.66423215, -2519017.79098837, -2536446.20979389, 266591.23917291, 300759.218397394, 450108.094629128, 398973.222993243, 266591.23917291))
"265";"cell_3.456";21;777,092680289;983,523283338252;27197,271799705;110;-1,25173216029864;0,11;999;746,190142167;11;180,691722611956;92,3164720386636;0,0118910802459981;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5,82672291190941;0,115671120744;0,0843135835465107;11;180,691722611956;234,977946857274;33,6133580503787;65;-1,61501936712052;0,065;999;11;92,3164720386636;124,779703859876;33,1157451215847;177;-0,9802959801153;0,177;999;NA;NA;NA;NA;NA;NA;-0,11121316059622;0,201139457068603;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(-2861532.81679993, -3184527.6253997, -3162646.11222631, -2841870.66423215, -2861532.81679993, 300759.218397394, 334707.340750056, 500913.934429534, 450108.094629128, 300759.218397394))
"266";"cell_3.457";13;540,1095249697;856,403640090938;25298,842069803;22;-1,98856957140309;0,022;999;509,2069868477;9;156,230292530683;63,6945999203;-0,436050422988328;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,43086071223849;0,1080870910248;0,0268372840352517;9;156,230292530683;235,004141845281;38,9830325707459;41;-2,02072142980768;0,041;999;9;63,6945999203;132,369597535035;38,2566579840795;27;-1,79511230811938;0,027;999;NA;NA;NA;NA;NA;NA;-0,504481060995269;-0,458333450916941;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(-3184527.6253997, -3505201.51811729, -3481116.59180598, -3162646.11222631, -3184527.6253997, 334707.340750056, 368411.525013806, 551354.703097648, 500913.934429534, 334707.340750056))
"267";"cell_3.46";7;376,8834515225;406,684774850525;6026,60651455783;341;-0,383883221772655;0,341;999;322,0609040745;3;214,707269383;153,494067787167;0,0255352181406779;NA;NA;"NAMPA_RS-GPZi";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,32277414618557;0,108006063111479;-0,0284335813563345;3;214,707269383;236,756742033353;74,2090170733322;321;-0,297126596200078;0,321;999;3;153,494067787167;200,646054792605;82,9853161730344;330;-0,568196750701305;0,33;999;NA;NA;NA;NA;NA;NA;0,280423784354858;-0,145219091071205;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(-243962.593218431, -295863.184378344, -393221.627337737, -324242.328819832, -243962.593218431, -1540319.19245692, -1868006.62850535, -1849962.30767123, -1525440.2229332, -1540319.19245692))
"268";"cell_3.469";10;567,618832979;648,360897217374;15315,6865144879;265;-0,652426532050081;0,265;999;516,831608745;6;186,000399096467;135,460999240167;0,0660400047749079;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,80904194692183;0,03657536164299;0,0584026036648446;6;186,000399096467;235,648012347411;46,5409447317322;150;-1,06675129903615;0,15;999;6;135,460999240167;154,724528398169;52,879621839058;368;-0,364290221602414;0,368;999;NA;NA;NA;NA;NA;NA;-0,153428678345212;0,33577436403464;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(-2519017.79098837, -2841870.66423215, -2814419.14170972, -2494684.91951253, -2519017.79098837, 398973.222993243, 450108.094629128, 598223.255860114, 530261.648941639, 398973.222993243))
"269";"cell_3.470";36;1083,997904888;1104,38189761249;31431,4573264564;461;-0,114975947395556;0,461;999;1056,745378738;13;222,410534434982;125,791595245869;0,621797729577233;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16,3617764589128;0,25065271068148;0,378731347613886;13;222,410534434982;235,812867139488;30,0745525117398;315;-0,445636978281712;0,315;999;13;125,791595245869;118,780454202804;28,9638811126011;597;0,242064971051663;0,597;999;NA;NA;NA;NA;NA;NA;0,423369557896545;0,852439432850541;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(-2841870.66423215, -3162646.11222631, -3132096.00589213, -2814419.14170972, -2841870.66423215, 450108.094629128, 500913.934429534, 665747.557832842, 598223.255860114, 450108.094629128))
"270";"cell_3.482";12;888,61396884;919,72235066877;25220,0187776688;434;-0,195886595422715;0,434;999;857,711430718;10;260,194367818953;80,2916008336;0,465233003308933;NA;NA;NA;"Western Antarctic Peninsula/Domain 1 - General Protection Zone";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6,80209885355138;0,183053746280732;0,0200925461963363;10;260,194367818953;235,479568754824;35,8890687554758;741;0,688644200620526;0,741;999;10;80,2916008336;129,289507382644;38,3602642035637;85;-1,27730889154023;0,085;999;NA;NA;NA;NA;NA;NA;0,944785497036386;-0,0756199132137979;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(-2173122.04822455, -2494684.91951253, -2463514.29007573, -2145969.28774713, -2173122.04822455, 461911.350659926, 530261.648941639, 660096.664568322, 575010.737633834, 461911.350659926))
"271";"cell_3.484";20;957,2731638627;990,142100025249;26539,8601694525;424;-0,201760586985378;0,424;999;941,9676177827;11;244,22367684012;110,138735487182;0,538091696861218;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;97,5216667441781;1,08308415553009;3,39153210744068;11;244,22367684012;234,641550826018;33,3031292512544;589;0,287724494050092;0,589;999;11;110,138735487182;125,705694950142;33,4042447601944;338;-0,466017405114636;0,338;999;NA;3,39153210744068;NA;3,39153210744068;NA;3,39153210744068;0,748463356367649;0,516610545497232;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(-2814419.14170972, -3132096.00589213, -3092961.04211513, -2779253.49194774, -2814419.14170972, 598223.255860114, 665747.557832842, 828756.413455674, 744698.728728775, 598223.255860114))
"272";"cell_3.496";10;818,2087909444;859,709418982607;23856,9017754907;406;-0,268687614665578;0,406;999;787,3062528224;9;218,295809148322;138,118111081422;0,376113038523701;NA;NA;NA;"Western Antarctic Peninsula/Domain 1 - General Protection Zone";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5,600048600039;0,106655924643343;0,0876100122237685;9;218,295809148322;236,500175988421;38,3293324810872;276;-0,474946096415356;0,276;999;9;138,118111081422;133,406270055073;38,7031871845303;550;0,121742971809645;0,55;999;NA;NA;NA;NA;NA;NA;0,335352496741605;0,859033792503057;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(-2145969.28774713, -2463514.29007573, -2425591.33920661, -2112934.57461649, -2145969.28774713, 575010.737633834, 660096.664568322, 788122.401120179, 686534.060144396, 575010.737633834))
